V2,V1,Locus ID,Full name,Gene abbreviation,Target gene,Target Gene abbreviation,Notes
VIT_202s0033g00410,VIT_02s0033g00410,Vitvi02s0033g00410,Myb VvMYBA1 (MYBA1),VviMYBA1,VIT_16s0039g02230,VviUFGT,validated
VIT_202s0033g00380,VIT_02s0033g00380,Vitvi02s0033g00380,Myb VvMYBA1 (MYBA2),VviMYBA2,VIT_16s0039g02230,VviUFGT,validated
VIT_207s0104g00090,VIT_07s0104g00090,Vitvi07s0104g00090,Transparent testa 8 TT8 (VvMYC1),VviMYC1,VIT_16s0039g02230,VviUFGT,validated
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_03s0017g00710,VviFLS,
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_07s0031g00100,VviFLS,
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_10s0003g02430,VviFLS,
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_10s0003g02450,VviFLS,
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_13s0047g00210,VviFLS,
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_18s0001g03490,VviFLS1,
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_18s0001g03510,VviFLS2+VviFLS3,
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_18s0001g03470,VviFLS4,validated
VIT_207s0005g01210,VIT_07s0005g01210,Vitvi07s0005g01210,Myb domain protein 12 (VvMYBF1),VviMYBF1,VIT_18s0001g03430,VviFLS5,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_13s0067g02870,VviCHI,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_13s0067g03820,VviCHI,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_07s0151g01060,VviCHI,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_14s0066g00400,VviCHI,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_19s0014g00100,VviCHI,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_05s0094g01180,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02810,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02830,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02840,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02880,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02910,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02970,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g03000,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g03040,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g03050,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_08s0007g05160,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_16s0022g01540,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02860,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g02920,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g03010,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_16s0022g01500,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_16s0022g01510,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0009g03140,VviF3'5'H,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_02s0025g04720,VviLDOX,validated
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_00s0521g00010,VviLDOX,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_00s0687g00010,VviLDOX,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_08s0105g00380,VviLDOX,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_11s0118g00360,VviLDOX,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_13s0067g01020,VviLDOX,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0004g00760,VviLDOX,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_06s0004g00770,VviLDOX,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_15s0046g01150,VviLAR,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_17s0000g04150,VviLAR,
VIT_208s0007g07230,VIT_08s0007g07230,Vitvi08s0007g07230,Myb domain protein 5a,VviMYB5a,VIT_01s0011g02960,VviLAR1,validated
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_13s0067g02870,VviCHI,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_13s0067g03820,VviCHI,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_07s0151g01060,VviCHI,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_14s0066g00400,VviCHI,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_19s0014g00100,VviCHI,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_05s0094g01180,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02810,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02830,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02840,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02880,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02910,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02970,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g03000,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g03040,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g03050,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_08s0007g05160,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_16s0022g01540,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02860,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g02920,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g03010,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_16s0022g01500,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_16s0022g01510,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0009g03140,VviF3'5'H,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_02s0025g04720,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_00s0521g00010,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_00s0687g00010,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_08s0105g00380,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_11s0118g00360,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_13s0067g01020,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0004g00760,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_06s0004g00770,VviLDOX,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_15s0046g01150,VviLAR,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_17s0000g04150,VviLAR,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_01s0011g02960,VviLAR1,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_00s0361g00040,VviANR,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_00s0361g00020,VviANR,
VIT_206s0004g00570,VIT_06s0004g00570,Vitvi06s0004g00570,Myb domain protein 5b,VviMYB5b,VIT_00s0361g00010,VviANR2,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_07s0151g01060,VviCHI,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_14s0066g00400,VviCHI,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_19s0014g00100,VviCHI,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_13s0067g02870,VviCHI,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_13s0067g03820,VviCHI,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_00s1492g00010,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_03s0038g01460,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_05s0136g00260,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_14s0068g00930,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_16s0100g00860,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_16s0022g01000,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_16s0022g01020,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_16s0022g01070,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_16s0022g01140,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_16s0022g01190,VviCHS,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_02s0025g04720,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_00s0521g00010,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_00s0687g00010,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_08s0105g00380,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_11s0118g00360,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_13s0067g01020,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_06s0004g00760,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_06s0004g00770,VviLDOX,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_15s0046g01150,VviLAR,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_17s0000g04150,VviLAR,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_01s0011g02960,VviLAR1,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_00s0361g00040,VviANR,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_00s0361g00020,VviANR,
VIT_215s0046g00170,VIT_15s0046g00170,Vitvi15s0046g00170,MYBPA1 protein [Vitis vinifera],VviMYBPA1,VIT_00s0361g00010,VviANR2,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_07s0151g01060,VviCHI,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_14s0066g00400,VviCHI,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_19s0014g00100,VviCHI,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_13s0067g02870,VviCHI,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_13s0067g03820,VviCHI,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_00s1492g00010,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_03s0038g01460,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_05s0136g00260,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_14s0068g00930,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_16s0100g00860,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_16s0022g01000,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_16s0022g01020,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_16s0022g01070,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_16s0022g01140,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_16s0022g01190,VviCHS,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_02s0025g04720,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_00s0521g00010,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_00s0687g00010,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_08s0105g00380,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_11s0118g00360,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_13s0067g01020,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_06s0004g00760,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_06s0004g00770,VviLDOX,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_15s0046g01150,VviLAR,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_17s0000g04150,VviLAR,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_01s0011g02960,VviLAR1,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_00s0361g00040,VviANR,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_00s0361g00020,VviANR,
VIT_211s0016g01320,VIT_11s0016g01320,Vitvi_11s0016g01320,MYBPA2 protein [Vitis vinifera],VviMYBPA2,VIT_00s0361g00010,VviANR2,
